repo,tool,july_row,cold_emptymain_matches_july,action,reason
Lifailon__lazyjournal,syft,ok,yes,corrected,main空採点が7月と完全一致＝ツール出力が同一と確認
Lifailon__lazyjournal,trivy,ok,yes,corrected,main空採点が7月と完全一致＝ツール出力が同一と確認
Lifailon__lazyjournal,cdxgen,ok,yes,corrected,main空採点が7月と完全一致＝ツール出力が同一と確認
Lifailon__lazyjournal,cyclonedx-gomod,ok,yes,corrected,main空採点が7月と完全一致＝ツール出力が同一と確認
antonmedv__fx,syft,ok,yes,corrected,main空採点が7月と完全一致＝ツール出力が同一と確認
antonmedv__fx,trivy,ok,yes,corrected,main空採点が7月と完全一致＝ツール出力が同一と確認
antonmedv__fx,cdxgen,ok,yes,corrected,main空採点が7月と完全一致＝ツール出力が同一と確認
antonmedv__fx,cyclonedx-gomod,ok,yes,corrected,main空採点が7月と完全一致＝ツール出力が同一と確認
box-cli-maker__box-cli-maker,syft,ok,yes,corrected,main空採点が7月と完全一致＝ツール出力が同一と確認
box-cli-maker__box-cli-maker,trivy,ok,yes,corrected,main空採点が7月と完全一致＝ツール出力が同一と確認
box-cli-maker__box-cli-maker,cdxgen,ok,yes,corrected,main空採点が7月と完全一致＝ツール出力が同一と確認
box-cli-maker__box-cli-maker,cyclonedx-gomod,ok,yes,corrected,main空採点が7月と完全一致＝ツール出力が同一と確認
dghubble__sling,syft,ok,yes,corrected,main空採点が7月と完全一致＝ツール出力が同一と確認
dghubble__sling,trivy,ok,yes,corrected,main空採点が7月と完全一致＝ツール出力が同一と確認
dghubble__sling,cdxgen,ok,yes,corrected,main空採点が7月と完全一致＝ツール出力が同一と確認
dghubble__sling,cyclonedx-gomod,ok,yes,corrected,main空採点が7月と完全一致＝ツール出力が同一と確認
dtgorski__typex,syft,ok,yes,corrected,main空採点が7月と完全一致＝ツール出力が同一と確認
dtgorski__typex,trivy,ok,yes,corrected,main空採点が7月と完全一致＝ツール出力が同一と確認
dtgorski__typex,cdxgen,ok,yes,corrected,main空採点が7月と完全一致＝ツール出力が同一と確認
dtgorski__typex,cyclonedx-gomod,ok,yes,corrected,main空採点が7月と完全一致＝ツール出力が同一と確認
homedepot__flop,syft,ok,NA,not_corrected,再計測が status=SKIP（SHA未記録等で計測できず）。補正根拠が得られない
homedepot__flop,trivy,ok,NA,not_corrected,再計測が status=SKIP（SHA未記録等で計測できず）。補正根拠が得られない
homedepot__flop,cdxgen,ok,NA,not_corrected,再計測が status=SKIP（SHA未記録等で計測できず）。補正根拠が得られない
homedepot__flop,cyclonedx-gomod,ok,NA,not_corrected,再計測が status=SKIP（SHA未記録等で計測できず）。補正根拠が得られない
naughtygopher__errors,syft,ok,yes,corrected,main空採点が7月と完全一致＝ツール出力が同一と確認
naughtygopher__errors,trivy,ok,yes,corrected,main空採点が7月と完全一致＝ツール出力が同一と確認
naughtygopher__errors,cdxgen,ok,yes,corrected,main空採点が7月と完全一致＝ツール出力が同一と確認
naughtygopher__errors,cyclonedx-gomod,ok,yes,corrected,main空採点が7月と完全一致＝ツール出力が同一と確認
