github.com/andybalholm/cascadia	v1.1.0
github.com/denisenkom/go-mssqldb	v0.0.0-20191124224453-732737034ffd
github.com/erikstmartin/go-testdb	v0.0.0-20160219214506-8d10e4a1bae5
github.com/go-sql-driver/mysql	v1.5.0
github.com/golang-sql/civil	v0.0.0-20190719163853-cb61b32ac6fe
github.com/jinzhu/gorm	v1.9.16
github.com/jinzhu/inflection	v1.0.0
github.com/jinzhu/now	v1.0.1
github.com/josharian/intern	v1.0.0
github.com/lib/pq	v1.1.1
github.com/mailru/easyjson	v0.7.7
github.com/mattn/go-sqlite3	v1.14.0
github.com/puerkitobio/goquery	v1.5.1
golang.org/x/crypto	v0.0.0-20191205180655-e7c4368fe9dd
golang.org/x/net	v0.0.0-20200324143707-d3edc9973b7e
golang.org/x/sys	v0.0.0-20200323222414-85ca7c5b95cd
golang.org/x/text	v0.3.0
