github.com/antlr4-go/antlr/v4	v4.13.0
github.com/cockroachdb/errors	v1.13.0
github.com/cockroachdb/logtags	v0.0.0-20230118201751-21c54148d20b
github.com/cockroachdb/redact	v1.1.5
github.com/getsentry/sentry-go	v0.46.0
github.com/gogo/protobuf	v1.3.2
github.com/google/go-cmp	v0.6.0
github.com/gopherjs/gopherjs	v1.17.2
github.com/jtolds/gls	v4.20.0%2Bincompatible
github.com/kr/pretty	v0.3.1
github.com/kr/text	v0.2.0
github.com/pkg/errors	v0.9.1
github.com/rogpeppe/go-internal	v1.9.0
github.com/smarty/assertions	v1.15.0
github.com/smartystreets/goconvey	v1.8.1
github.com/stretchr/testify	v1.8.4
github.com/xuanwo/go-locale	v1.1.0
github.com/youthlin/t/cmd/xtemplate	
golang.org/x/exp	v0.0.0-20230515195305-f3d0a9c9a5cc
golang.org/x/sys	v0.31.0
golang.org/x/text	v0.23.0
